movie_title,movie_info,movie_rating
Maiden,"Maiden is the story of how Tracy Edwards, a 24-year-old cook in charter boats, became the skipper of the first ever all-female crew to enter the Whitbread Round the World in 1989. Tracy's inspirational dream was opposed on all sides: her male competitors thought an all-women crew would never make it, the chauvinistic yachting press took bets on her failure, and potential sponsors rejected her, fearing they would die at sea and generate bad publicity. But Tracy refused to give up: she remortgaged her home and bought a secondhand boat, putting everything on the line to ensure the team made it to the start line. Although blessed with tremendous self-belief Tracy was also beset by crippling doubts and was only able to make it through with the support of her remarkable crew. With their help she went on to shock the sport world and prove that women are very much the equal of men.",PG
Mary Magdalene,"Set in the Holy Land in the first century C.E., a young woman leaves her small fishing village and traditional family behind to join a radical new social movement. At its head is a charismatic leader, Jesus of Nazareth, who promises that the world is changing. Mary is searching for a new way of living, and an authenticity that is denied her by the rigid hierarchies of the day. As the notoriety of the group spread and more are drawn to follow Jesus' inspirational message, Mary's spiritual journey places her at the heart of a story that will lead to the capital city of Jerusalem, where she must confront the reality of Jesus' destiny and her own place within it.",R
Mega Time Squad,"A low-level criminal steals an ancient Chinese time-travel device, but he may not survive the demonic consequences of tampering with time. MEGA TIME SQUAD is a wildly entertaining time travel/sci-fi comedy out of New Zealand. A fan favorite on the festival circuit, the film stars Jonny Brugh (What We Do In The Shadows) and was praised by Variety as ""fast-paced, determinedly silly, with sharp slangy dialogue,""the film blasted out of the gate at this year's Fantasia and is destined to become a cult favorite.",NR
Men in Black International,"The Men in Black have always protected the Earth from the scum of the universe. In this new adventure, they tackle their biggest, most global threat to date: a mole in the Men in Black organization.",PG-13
Midsommar,"Dani and Christian are a young American couple with a relationship on the brink of falling apart. But after a family tragedy keeps them together, a grieving Dani invites herself to join Christian and his friends on a trip to a once-in-a-lifetime midsummer festival in a remote Swedish village. What begins as a carefree summer holiday in a land of eternal sunlight takes a sinister turn when the insular villagers invite their guests to partake in festivities that render the pastoral paradise increasingly unnerving and viscerally disturbing. From the visionary mind of Ari Aster comes a dread-soaked cinematic fairytale where a world of darkness unfolds in broad daylight.",R
Miss Bala,"Gloria (Gina Rodriguez) finds a power she never knew she had when she is drawn into a dangerous world of cross-border crime. Surviving will require all of her cunning, inventiveness, and strength.",PG-13
Missing Link,"This April, meet Mr. Link (Galifianakis): 8 feet tall, 630 lbs, and covered in fur, but don't let his appearance fool you... he is funny, sweet, and adorably literal, making him the world's most lovable legend at the heart of Missing Link, the globe-trotting family adventure from LAIKA. Tired of living a solitary life in the Pacific Northwest, Mr. Link recruits fearless explorer Sir Lionel Frost (Jackman) to guide him on a journey to find his long-lost relatives in the fabled valley of Shangri-La. Along with adventurer Adelina Fortnight (Saldana), our fearless trio of explorers encounter more than their fair share of peril as they travel to the far reaches of the world to help their new friend. Through it all, the three learn that sometimes you can find a family in the places you least expect.",PG
Nancy Drew and the Hidden Staircase,"After the death of his wife, Carson Drew decides to leave Chicago behind and make a fresh start with his daughter in River Heights. But for 16-year-old Nancy Drew, life in a small town is mighty dull. She longs for excitement, adventure, and the chance to make a difference. Nancy gets that opportunity when she is asked to help solve the ghostly activity at the Twin Elms mansion. Can she help explain the creaking footsteps, exploding lightbulbs and the ominous creature? Is it the handiwork of high-school bully Derek Barnes? Or is it possible that the ghost of original owner Malcolm Colfax is back for revenge? Recruiting her best friends George and Bess, along with local ""mean girl"" Helen, Nancy Drew is on the case!",PG
Nightmare Cinema,"In this twisted horror anthology, five strangers are drawn to an abandoned theater and forced to watch their deepest and darkest fears play out before them. Lurking in the shadows is the Projectionist, who preys upon their souls with his collection of disturbing films. As each reel spins its sinister tale, the characters find frightening parallels to their own lives.",R
On the Basis of Sex,The film tells an inspiring and spirited true story that follows young lawyer Ruth Bader Ginsburg as she teams with her husband Marty to bring a groundbreaking case before the U.S. Court of Appeals and overturn a century of gender discrimination. The feature will premiere in 2018 in line with Justice Ginsburg's 25th anniversary on the Supreme Court.,PG-13
Otherhood,"For empty nesters, what's the difference between letting your children grow up and letting them grow distant? This year, on Mother's Day, feeling marginalized and forgotten, long time friends Carol (Angela Bassett), Gillian (Patricia Arquette) and Helen (Felicity Huffman) decide to drive to New York to reconnect with their adult sons, and in the process, they realize their sons are not the only ones whose lives need to change. A journey to relate becomes a journey of rediscovery that forces these women to redefine their relationships with their children, friends, spouses and most importantly, themselves. Written and directed by Cindy Chupack (Sex and the City), OTHERHOOD is a soulful, hilarious and honest exploration of life after motherhood.",R
Pavarotti,"From the filmmaking team behind the highly-acclaimed documentary The Beatles: Eight Days A Week - The Touring Years, PAVAROTTI is a riveting film that lifts the curtain on the icon who brought opera to the people. Academy Award (R) winner Ron Howard puts audiences front row center for an exploration of The Voice...The Man...The Legend. Luciano Pavarotti gave his life to the music and a voice to the world. This cinematic event features history-making performances and intimate interviews, including never-before-seen footage and cutting-edge Dolby Atmos technology.",PG-13
Pet Sematary,"Based on the seminal horror novel by Stephen King, Pet Sematary follows Dr. Louis Creed (Jason Clarke), who, after relocating with his wife Rachel (Amy Seimetz) and their two young children from Boston to rural Maine, discovers a mysterious burial ground hidden deep in the woods near the family's new home. When tragedy strikes, Louis turns to his unusual neighbor, Jud Crandall (John Lithgow), setting off a perilous chain reaction that unleashes an unfathomable evil with horrific consequences.",R
Piercing,"Reed (Christopher Abbott) is going on a business trip. He kisses his wife and infant son goodbye, but in lieu of a suitcase filled with clothes, he's packed a toothbrush and a murder kit. Everything is meticulously planned: check into a hotel and kill an unsuspecting victim. Only then will he rid himself of his devious impulses and continue to be a good husband and father. But Reed gets more than he bargained for with Jackie (Mia Wasikowska), an alluring call girl who arrives at his room. First, they relax and get in the mood, but when there's an unexpected disruption, the balance of control begins to sway back and forth between the two. Is he seeing things? Who's playing whom? Before the night is over, a feverish nightmare will unfold, and Reed and Jackie will seal their bond in blood.",R)
Pledge,"Three friends get the chance to live the college dream when they're invited to join an elite fraternity-but first they'll have to survive the hazing from hell. Freshman social misfits Ethan (Phillip Andre Botello), David (Zack Weiner), and Justin (Zachery Byrd) are desperate to improve their terminally uncool reputations by pledging one of their university's prestigious Greek houses. When every frat on campus turns them down, they are unexpectedly recruited by a shadowy social club offering them access to an exclusive world of raging parties, eligible coeds, and VIP social status. The catch? A sadistic initiation ritual that goes from depraved to deadly over the course of 48 booze- and blood-soaked hours. Spiked with twisted humor and gruesome shocks, Pledge asks: how far would you go to be popular?",NR
Plus One,"Single college friends Ben and Alice band together to survive a summer full of weddings in which everyone around them seems to be coupling off, including Ben's dad. Each serves as the other's date to help them navigate speeches, photo booths and prospective hookups until they realize they have great chemistry with each other.",NR
Pokémon Detective Pikachu,"The story begins when ace detective Harry Goodman goes mysteriously missing, prompting his 21-year-old son Tim to find out what happened. Aiding in the investigation is Harry's former Pokémon partner, Detective Pikachu: a hilariously wise-cracking, adorable super-sleuth who is a puzzlement even to himself. Finding that they are uniquely equipped to communicate with one another, Tim and Pikachu join forces on a thrilling adventure to unravel the tangled mystery. Chasing clues together through the neon-lit streets of Ryme City - a sprawling, modern metropolis where humans and Pokémon live side by side in a hyper-realistic live-action world - they encounter a diverse cast of Pokémon characters and uncover a shocking plot that could destroy this peaceful co-existence and threaten the whole Pokémon universe.",PG
Poms,"POMS is an uplifting comedy about Martha (played by Diane Keaton), a woman who moves into a retirement community and starts a cheerleading squad with her fellow residents, Sheryl (Jacki Weaver), Olive (Pam Grier) and Alice (Rhea Perlman), proving that it's never too late to follow your dreams.",PG-13
Red Joan,"In a picturesque village in England, Joan Stanley (Academy Award (R) winner Dame Judi Dench), lives in contented retirement. Then suddenly her tranquil existence is shattered as she's shockingly arrested by MI5. For Joan has been hiding an incredible past; she is one of the most influential spies in living history... Cambridge University in the 1930s, and the young Joan (Sophie Cookson), a demure physics student, falls intensely in love with a seductively attractive Russian saboteur, Leo. Through him, she begins to see that the world is on a knife-edge and perhaps must be saved from itself in the race to military supremacy. Post-war and now working at a top secret nuclear research facility, Joan is confronted with the impossible: Would you betray your country and your loved ones, if it meant saving them? What price would you pay for peace? Inspired by an extraordinary true story, Red Joan is the taut and emotional discovery of one woman's sacrifice in the face of incredible circumstances. A woman to whom we perhaps all owe our freedom.",R
Replicas,"After a car accident kills his family, a daring synthetic biologist (Reeves) will stop at nothing to bring them back, even if it means pitting himself against a government-controlled laboratory, a police task force, and the physical laws of science.",PG-13
Rocketman,"ROCKETMAN is an epic musical fantasy about the incredible human story of Elton John's breakthrough years. The film follows the fantastical journey of transformation from shy piano prodigy Reginald Dwight into international superstar Elton John. This inspirational story -- set to Elton John's most beloved songs and performed by star Taron Egerton -- tells the universally relatable story of how a small-town boy became one of the most iconic figures in pop culture. ROCKETMAN also stars Jamie Bell as Elton's longtime lyricist and writing partner Bernie Taupin, Richard Madden as Elton's first manager, John Reid, and Bryce Dallas Howard as Elton's mother Sheila Farebrother.",R
Run the Race,"In RUN THE RACE, two desperate brothers sacrifice today for a better tomorrow. Reeling from his mother's death and his father's abandonment, Zach, an All-State athlete, finds glory on the football field, working to earn a college scholarship and the brothers' ticket out of town. When a devastating injury puts Zach-and his dreams-on the sidelines, David laces up his track cleats to salvage their future and point Zach toward hope.",PG
Rust Creek,"An ordinary woman must summon extraordinary courage to survive a nightmare odyssey in this harrowing survival thriller. Sawyer (Hermione Corfield) is an ambitious, overachieving college senior with a seemingly bright future. While on her way to a job interview, a wrong turn leaves her stranded deep in the frozen Kentucky woods. Suddenly, the young woman with everything to live for finds herself facing her own mortality as she's punished by the elements and pursued by a band of ruthless outlaws. With nowhere left to run, she is forced into an uneasy alliance with Lowell (Jay Paulson), an enigmatic loner with shadowy intentions. Though she's not sure she can trust him, Sawyer must take a chance if she hopes to escape Rust Creek alive.",R
Serenity,"From the creative mind of Oscar nominee Steven Knight comes a daringly original, sexy, stylized thriller. Baker Dill (Academy Award winner Matthew McConaughey) is a fishing boat captain leading tours off a tranquil, tropical enclave called Plymouth Island. His quiet life is shattered, however, when his ex-wife Karen (Academy Award winner Anne Hathaway) tracks him down with a desperate plea for help. She begs Dill to save her -- and their young son -- from her new, violent husband (Jason Clarke) by taking him out to sea on a fishing excursion, only to throw him to the sharks and leave him for dead. Karen's appearance thrusts Dill back into a life he'd tried to forget, and as he struggles between right and wrong, his world is plunged into a new reality that may not be all that it seems.",R
Shadow,"With SHADOW, director Zhang Yimou (HERO, HOUSE OF FLYING DAGGERS) once again pushes the boundaries of wuxia action to create a film like no other, masterfully painting a canvas of inky blacks and greys punctuated with bursts of color from the blood of the defeated. In a kingdom ruled by a young and unpredictable king, the military commander has a secret weapon: a ""shadow"", a look-alike who can fool both his enemies and the King himself. Now he must use this weapon in an intricate plan that will lead his people to victory in a war that the King does not want.",NR
Shaft,"""Shaft"" is the next chapter in the film franchise featuring the coolest private eye on any New York City block. JJ, aka John Shaft Jr. (Usher), may be a cyber security expert with a degree from MIT, but to uncover the truth behind his best friend's untimely death, he needs an education only his dad can provide. Absent throughout JJ's youth, the legendary locked-and-loaded John Shaft (Jackson) agrees to help his progeny navigate Harlem's heroin-infested underbelly. And while JJ's own FBI analyst's badge may clash with his dad's trademark leather coat, there's no denying family. Besides, Shaft's got an agenda of his own, and a score to settle that's professional and personal.",R
Shazam!,"We all have a superhero inside us, it just takes a bit of magic to bring it out. In Billy Batson's (Asher Angel) case, by shouting out one word--SHAZAM!--this streetwise 14-year-old foster kid can turn into the adult Super Hero Shazam (Zachary Levi), courtesy of an ancient wizard. Still a kid at heart--inside a ripped, godlike body--Shazam revels in this adult version of himself by doing what any teen would do with superpowers: have fun with them! Can he fly? Does he have X-ray vision? Can he shoot lightning out of his hands? Can he skip his social studies test? Shazam sets out to test the limits of his abilities with the joyful recklessness of a child. But he'll need to master these powers quickly in order to fight the deadly forces of evil controlled by Dr. Thaddeus Sivana (Strong).",PG-13
Skin,"A white supremacist reforms his life after falling in love but saying goodbye to his skinhead life isn't a clean process. He must betray his former gang and work alongside the FBI in order to remove the body ink that has represented his identity for so long, as well as the burden of the gang's crimes he has carried.",R
Spider-Man: Far From Home,"Peter Parker returns in Spider-Man: Far From Home, the next chapter of the Spider-Man: Homecoming series! Our friendly neighborhood Super Hero decides to join his best friends Ned, MJ, and the rest of the gang on a European vacation. However, Peter's plan to leave super heroics behind for a few weeks are quickly scrapped when he begrudgingly agrees to help Nick Fury uncover the mystery of several elemental creature attacks, creating havoc across the continent!",PG-13
Stuber,"When a mild-mannered Uber driver named Stu (Kumail Nanjiani) picks up a passenger (Dave Bautista) who turns out to be a cop hot on the trail of a brutal killer, he's thrust into a harrowing ordeal where he desperately tries to hold onto his wits, his life and his five-star rating.",R
Sword of Trust,"When Cynthia & Mary (Jillian Bell & Michaela Watkins) show up to collect Cynthia's inheritance from her deceased grandfather, the only item she's received is an antique sword that was believed by her grandfather to be proof that the South won the Civil War. The two attempt to unload the object to a curmudgeonly pawnshop owner (Marc Maron) & his man-child sidekick Nathaniel (Jon Bass). When Mel and Nathaniel discover there's a black market for the relic, the two pairs reluctantly join forces to sell this rarefied 'prover item' to the highest bidder. The adventure that ensues takes the four of them on a wild journey into the depths of conspiracy theory and Southern disillusionment.",R
Teen Spirit,"Violet (Elle Fanning) is a shy teenager who dreams of escaping her small town and pursuing her passion to sing. With the help of an unlikely mentor, she enters a local singing competition that will test her integrity, talent and ambition. Driven by a pop-fueled soundtrack, Teen Spirit is a visceral and stylish spin on the Cinderella story.",PG-13
The Aftermath,"THE AFTERMATH is set in postwar Germany in 1946. Rachael Morgan (Keira Knightley) arrives in the ruins of Hamburg in the bitter winter, to be reunited with her husband Lewis (Jason Clarke), a British colonel charged with rebuilding the shattered city. But as they set off for their new home, Rachael is stunned to discover that Lewis has made an unexpected decision: They will be sharing the grand house with its previous owners, a German widower (Alexander Skarsgård) and his troubled daughter. In this charged atmosphere, enmity and grief give way to passion and betrayal.",R
The Art of Self-Defense,"After he's attacked on the street at night by a roving motorcycle gang, timid bookkeeper Casey (Jesse Eisenberg) joins a neighborhood karate studio to learn how to protect himself. Under the watchful eye of a charismatic instructor, Sensei (Alessandro Nivola), and hardcore brown belt Anna (Imogen Poots), Casey gains a newfound sense of confidence for the first time in his life. But when he attends Sensei's mysterious night classes, he discovers a sinister world of fraternity, brutality and hyper-masculinity, presenting a journey that places him squarely in the sights of his enigmatic new mentor. Audacious and offbeat, The Art of Self-Defense is an original dark comedy that takes toxic masculinity to absurd extremes.",R
The Beach Bum,"THE BEACH BUM follows the hilarious misadventures of Moondog (Matthew McConaughey), a rebellious rogue who always lives life by his own rules. Co-starring Snoop Dog, Zac Efron, and Isla Fisher, THE BEACH BUM is a refreshingly original and subversive new comedy from director Harmony Korine (Kids, Spring Breakers).",R
The Best of Enemies,"Based on a true story, THE BEST OF ENEMIES centers on the unlikely relationship between Ann Atwater (Henson), an outspoken civil rights activist, and C.P. Ellis (Rockwell), a local Ku Klux Klan leader who reluctantly co-chaired a community summit, battling over the desegregation of schools in Durham, North Carolina during the racially-charged summer of 1971. The incredible events that unfolded would change Durham and the lives of Atwater and Ellis forever.",PG-13
The Boy Who Harnessed the Wind,"Against all the odds, a thirteen year old boy in Malawi invents an unconventional way to save his family and village from famine. Based on the true story of William Kamkwamba.",NR
The Changeover,"Sixteen year-old Laura Chant (Erana James) lives with her mother and four-year-old brother Jacko (Benji Purchase) in a poor new suburb on the edge of a partially demolished Christchurch, New Zealand. Laura is drawn into a supernatural battle with an ancient spirit who attacks Jacko and slowly drains the life out of him as the spirit becomes ever younger. Laura discovers her true identity and the supernatural ability within her, and must harness it to save her brother's life.",NR
The Curse of La Llorona,"In 1970s Los Angeles, La Llorona is stalking the night -- and the children. Ignoring the eerie warning of a troubled mother suspected of child endangerment, a social worker and her own small kids are soon drawn into a frightening supernatural realm. Their only hope to survive La Llorona's deadly wrath may be a disillusioned priest and the mysticism he practices to keep evil at bay, on the fringes where fear and faith collide.",R
The Dead Don't Die,"The greatest zombie cast ever disassembled starring Bill Murray, Adam Driver, Tilda Swinton, Chloë Sevigny, Steve Buscemi, Danny Glover, Caleb Landry Jones, Rosie Perez, Iggy Pop, Sara Driver, RZA, Selena Gomez, Carol Kane, Austin Butler, Luka Sabbat and Tom Waits. Written and directed by Jim Jarmusch.",R
The Fanatic,"After Moose (John Travolta) gets cheated out of meeting his hero, Hunter Dunbar (Devon Sawa), he turns to stalking to get the celebrity interaction he feels he deserves. Harmless at first, Moose's actions begin to take a dark turn. Against the advice of his friend Leah (Ana Golja), Moose begins to make frequent visits to his hero's private home. As the visits continue to escalate, Dunbar find himself in increasing danger.",R
The Golem,"During an outbreak of a deadly plague, a mystical woman must save her tight-knit Jewish community from foreign invaders, but the entity she conjures to protect them is a far greater evil.",NR
The Great Hack,"Data, arguably the world's most valuable asset, is being weaponized to wage cultural and political wars. The dark world of data exploitation is uncovered through the unpredictable personal journeys of players on different sides of the explosive Cambridge Analytica/Facebook data story.",NR
The Haunting of Sharon Tate,"Based on one of Hollywood's most chilling murder cases, this spellbinding thriller follows 26-year-old actress Sharon Tate (Hilary Duff), a rising star about to have her first baby with her husband, director Roman Polanski. Plagued by terrifying premonitions, Sharon sees her worst nightmares come to life with the appearance of Charles Manson and his deadly cult.",R
The Head Hunter,"A medieval warrior goes around hunting monsters that threaten mankind. Through his many battles, he's been able to amass a collection composed of the heads of his victims. To finish his collection, he searches for the monster that killed his daughter years ago.",NR
The Highwaymen,"The outlaws made headlines. The lawmen made history. From director John Lee Hancock (The Blind Side), THE HIGHWAYMEN follows the untold true story of the legendary detectives who brought down Bonnie and Clyde. When the full force of the FBI and the latest forensic technology aren't enough to capture the nation's most notorious criminals, two former Texas Rangers (Kevin Costner and Woody Harrelson) must rely on their gut instincts and old school skills to get the job done.",R
The Hole in the Ground,"Sarah and her young son Chris move to a new home in the Irish countryside, next to a forest that hides an enormous sinkhole. One night, Chris vanishes, and when he reappears, he seems unharmed and unchanged. But, as his behavior grows increasingly disturbing, Sarah begins to fear that the boy who has returned may not be her son at all.",R
The House of the Devil,"Sam is a pretty college sophomore, so desperate to earn some cash for a deposit on an apartment that she accepts a babysitting job even after she finds out there is no baby. Mr. and Mrs. Ulman are the older couple who lure Sam out to their creeky Victorian mansion deep in the woods, just in time for a total lunar eclipse. Megan is Sam's best friend, who gives her a ride out to the house, and reluctantly leaves her there despite suspecting that something is amiss. Victor at first seems like just a creepy guy lurking around the house, but quickly makes it clear that Sam will end this night in a bloody fight for her life.",R
The Hummingbird Project,"In this modern epic, Kim Nguyen exposes the ruthless edge of our increasingly digital world. Cousins from New York, Vincent (Jesse Eisenberg) and Anton (Alexander Skarsgård) are players in the high-stakes game of High-Frequency Trading, where winning is measured in milliseconds. Their dream? To build a straight fiber-optic cable line between Kansas and New Jersey, making them millions. But nothing is straightforward for this flawed pair. Anton is the brains, Vincent is the hustler, and together they push each other and everyone around them to the breaking point with their quixotic adventure. Constantly breathing down their necks is their old boss Eva Torres (Salma Hayek), a powerful, intoxicating and manipulative trader who will stop at nothing to come between them and beat them at their own game.",R
The Hustle,"Rebel Wilson and Anne Hathaway have winning chemistry as a pair of con artists plying their trade in a stunning seaside town in the south of France. Josephine Chesterfield (Hathaway) is a glamorous, seductive Brit with a sprawling home in Beaumont-sur-Mer and a penchant for defrauding gullible wealthy men from all corners of the world. Into her well-ordered, meticulously moneyed world bursts Penny Rust (Wilson), an Aussie who is as free-form and fun-loving as Josephine is calculated and cunning. Where Penny amasses wads of cash by ripping off her marks in neighborhood bars, Josephine fills her safe with massive diamonds after ensnaring her prey in glitzy casinos. Despite their different methods, both are masters of the art of the fleece so they con the men that have wronged women. Wilson's talent for physicality and Hathaway's withering wit are a combustible combination as the pair of scammers pull out all the stops to swindle a naïve tech billionaire (Alex Sharp).",PG-13
The Intruder,"When a young married couple (Michael Ealy and Meagan Good) buys their dream house in the Napa Valley, they think they have found the perfect home to take their next steps as a family. But when the strangely attached seller (Dennis Quaid) continues to infiltrate their lives, they begin to suspect that he has hidden motivations beyond a quick sale.",PG-13
The Kid,"In this thrilling Western, a young boy, Rio (Jake Schur), is forced to go on the run across the American Southwest in a desperate attempt to save his sister (Leila George) from his villainous uncle (Chris Pratt). Along the way, he encounters Sheriff Pat Garrett (Ethan Hawke), on the hunt for the infamous outlaw Billy the Kid (Dane DeHaan). Rio finds himself increasingly entwined in the lives of these two legendary figures as the cat and mouse game of Billy the Kid's final year of life plays out. Ultimately Rio is forced to choose which type of man he is going to become, the outlaw or the man of valor, and will use this self-realization in a final act to save his family.",R
The Kid Who Would Be King,"Old school magic meets the modern world in the epic adventure THE KID WHO WOULD BE KING. Alex (Ashbourne Serkis) thinks he's just another nobody, until he stumbles upon the mythical Sword in the Stone, Excalibur. Now, he must unite his friends and enemies into a band of knights and, together with the legendary wizard Merlin (Patrick Stewart), take on the wicked enchantress Morgana (Rebecca Ferguson). With the future at stake, Alex must become the great leader he never dreamed he could be.",PG
The King,"Hal (Timothée Chalamet), wayward prince and reluctant heir to the English throne, has turned his back on royal life and is living among the people. But when his tyrannical father dies, Hal is crowned King Henry V and is forced to embrace the life he had previously tried to escape. Now the young king must navigate the palace politics, chaos and war his father left behind, and the emotional strings of his past life -- including his relationship with his closest friend and mentor, the ageing alcoholic knight, John Falstaff (Joel Edgerton).",R
The Last Black Man in San Francisco,"Jimmie Fails dreams of reclaiming the Victorian home his grandfather built in the heart of San Francisco. Joined on his quest by his best friend Mont, Jimmie searches for belonging in a rapidly changing city that seems to have left them behind.",R
The Laundromat,"When her idyllic vacation takes an unthinkable turn, Ellen Martin (Academy Award winner Meryl Streep) begins investigating a fake insurance policy, only to find herself down a rabbit hole of questionable dealings that can be linked to a Panama City law firm and its vested interest in helping the world's wealthiest citizens amass even larger fortunes. The charming -- and very well-dressed -- founding partners Jürgen Mossack (Academy Award winner Gary Oldman) and Ramón Fonseca (Golden Globe nominee Antonio Banderas) are experts in the seductive ways shell companies and offshore accounts help the rich and powerful prosper. They are about to show us that Ellen's predicament only hints at the tax evasion, bribery and other illicit absurdities that the super wealthy indulge in to support the world's corrupt financial system.",R
The LEGO Movie 2: The Second Part,"The much-anticipated sequel to the critically acclaimed, global box office phenomenon that started it all, ""The LEGO (R) Movie 2: The Second Part,"" reunites the heroes of Bricksburg in an all new action-packed adventure to save their beloved city. It's been five years since everything was awesome and the citizens are now facing a huge new threat: LEGO DUPLO (R) invaders from outer space, wrecking everything faster than it can be rebuilt. The battle to defeat the invaders and restore harmony to the LEGO universe will take Emmet (Chris Pratt), Lucy (Elizabeth Banks), Batman (Will Arnett) and their friends to faraway, unexplored worlds, including a strange galaxy where everything is a musical. It will test their courage, creativity and Master Building skills, and reveal just how special they really are.",PG
The Lion King,"From Disney Live Action, director Jon Favreau's all-new ""The Lion King"" journeys to the African savanna where a future king is born. Simba idolizes his father, King Mufasa, and takes to heart his own royal destiny. But not everyone in the kingdom celebrates the new cub's arrival. Scar, Mufasa's brother-and former heir to the throne-has plans of his own. The battle for Pride Rock is ravaged with betrayal, tragedy and drama, ultimately resulting in Simba's exile. With help from a curious pair of newfound friends, Simba will have to figure out how to grow up and take back what is rightfully his.",PG
The Man Who Killed Don Quixote,"Toby (Adam Driver), a cynical advertising director, finds himself trapped in the outrageous delusions of an old Spanish shoe-maker (Jonathan Pryce) who believes himself to be Don Quixote. In the course of their comic and increasingly surreal adventures, Toby is forced to confront the tragic repercussions of a film he made in his idealistic youth -- a film that changed the hopes and dreams of a small Spanish village forever. Can Toby make amends and regain his humanity? Can Don Quixote survive his madness and imminent death? Or will love conquer all?",NR
The Man Who Killed Hitler and Then The Bigfoot,"THE MAN WHO KILLED HITLER AND THEN THE BIGFOOT follows the epic adventures of an American legend that no one has ever heard of. Since WWII, Calvin Barr (Elliott) has lived with the secret that he was responsible for the assassination of Adolf Hitler. Now, decades later, the US government has called on him again for a new top-secret mission. Bigfoot has been living deep in the Canadian wilderness and is carrying a deadly plague that is now threatening to spread to the general population. Relying on the same skills that he honed during the war, Calvin must set out to save the free world yet again.",NR
The Mustang,"Roman (Matthias Schoenaerts), a convict in a rural Nevada prison who struggles to escape his violent past, is required to participate in an ""outdoor maintenance"" program as part of his state-mandated social rehabilitation. Spotted by a no-nonsense veteran trainer (Bruce Dern) and helped by an outgoing fellow inmate and trick rider (Jason Mitchell), Roman is accepted into the selective wild horse training section of the program, where he finds his own humanity in gentling an especially unbreakable mustang.",R
The Prodigy,"In her much-anticipated foray into the horror-thriller genre, Golden Globe and Emmy nominee Taylor Schilling stars in THE PRODIGY as Sarah, a mother whose young son Miles' disturbing behavior signals that an evil, possibly supernatural force has overtaken him. Fearing for her family's safety, Sarah must choose between her maternal instinct to love and protect Miles and a desperate need to investigate what -- or who -- is causing his dark turn. She is forced to look for answers in the past, taking the audience on a wild ride; one where the line between perception and reality becomes frighteningly blurry.",R
The Professor,"Richard (Johnny Depp), a buttoned-down college lecturer who, after learning he has six months to live, transforms into a rebellious party animal. To the shock of his wife (Rosemarie DeWitt) and school chancellor (Ron Livingston)--and the delight of his students--Richard leads a hilarious crusade against authority and hypocrisy in this dark comedy costarring Zoey Deutch.",R
The Professor and the Madman,"Based on the worldwide best-selling novel by Simon Winchester, THE PROFESSOR AND THE MADMAN is an extraordinary true tale of madness, genius, and obsession about two remarkable men who created history with the writing of the Oxford English Dictionary. The compilation of the Oxford English Dictionary began in 1857 and was one of the most ambitious, and revolutionary projects ever undertaken. Professor James Murray (Mel Gibson) took on the challenge of creating the most comprehensive dictionary ever compiled, but knew that it would take him and his team over a century to compile all known definitions. However, by ""crowd sourcing"" the work, that is, by enlisting definitions from people all over the world, the dictionary could be compiled in mere decades. As definitions were collected, the overseeing committee, led by Professor Murray, discovered that one man, Dr. W.C. Minor (Sean Penn), had submitted more than ten thousand words. When the committee insisted on honoring him, a shocking truth came to light: Dr. Minor, an American Civil War veteran, was a convicted murderer and being held at an asylum for the criminally insane.",NR
The Public,"In ""The Public"" an unusually bitter Arctic blast has made its way to downtown Cincinnati and the front doors of the public library where the action of the film takes place. At odds with library officials over how to handle the extreme weather event, some homeless patrons turn the building into a shelter for the night by staging an ""Occupy"" sit in. What begins as an act of civil disobedience becomes a stand-off with police and a rush-to-judgment media constantly speculating about what's really happening. This David versus Goliath story tackles some of our nation's most challenging issues, homelessness and mental illness and sets the drama inside one of the last bastions of democracy-in-action: your public library.",PG-13
The Secret Life of Pets 2,"THE SECRET LIFE OF PETS 2 will follow summer 2016's blockbuster about the lives our pets lead after we leave for work or school each day. Illumination founder and CEO Chris Meledandri and his longtime collaborator Janet Healy will produce the sequel to the comedy that had the best opening ever for an original film, animated or otherwise. THE SECRET LIFE OF PETS 2 will see the return of writer Brian Lynch (Minions) and once again be directed by Chris Renaud (Despicable Me series, Dr. Seuss' The Lorax).",PG
The Souvenir,"A shy film student begins finding her voice as an artist while navigating a turbulent courtship with a charismatic but untrustworthy man. She defies her protective mother and concerned friends as she slips deeper and deeper into an intense, emotionally fraught relationship which comes dangerously close to destroying her dreams.",R
The Standoff at Sparrow Creek,"After a mass shooting at a police funeral, reclusive ex-cop Gannon finds himself unwittingly forced out of retirement when he realizes that the killer belongs to the same militia he joined after quitting the force. Understanding that the shooting could set off a chain reaction of copycat violence across the country, Gannon quarantines his fellow militiamen in the remote lumber mill they call their headquarters. There, he sets about a series of grueling interrogations, intent on ferreting out the killer and turning him over to the authorities to prevent further bloodshed.",NR
